Item,References,Qty,Value,Package_or_footprint,Manufacturer,Preferred_MPN,Sourcing_status,Notes
1,PCB1,1,CopperTone v0.1,52x30mm 2-layer FR-4,Any qualified PCB fab,TBD,HOLD,"Preview outputs only; do not fabricate before validation gates pass"
2,U1,1,OPA1656,SOIC-8 3.9x4.9mm P1.27mm,Texas Instruments,OPA1656IDR,VERIFY,"4.5-36V dual JFET-input op amp; verify pin-1 orientation"
3,"J1 J2",2,3.5mm stereo TRS,SJ1-3513N horizontal THT,Same Sky,SJ1-3513N,VERIFY,"Custom footprint is not mechanically qualified"
4,J3,1,9V power,1x02 P2.54mm vertical THT,Samtec,TSW-102-07-G-S,VERIFY,"Pin 1 = 9V_RAW; pin 2 = GND; add keyed harness if productized"
5,D1,1,SS14,SMA,Diodes Incorporated,SS14-13-F,VERIFY,"Series reverse-polarity protection; stripe/polarity review required"
6,"C1 C2",2,470nF 63V 10% PET film,THT P5.00mm 7.2x3.5mm,WIMA,MKS2C034701C00xxxx,QUALIFY,"Order suffix and lifecycle must be selected; KSSD suffix has lifecycle concerns"
7,"C3 C4 C8",3,10uF 25V,SMD aluminum electrolytic 4x5.8mm,Panasonic,EEEFK1E100R,VERIFY,"Confirm polarity and land pattern against current datasheet"
8,C5,1,47uF 25V,SMD aluminum electrolytic 6.3x5.8mm,Panasonic,EEEFK1E470P,VERIFY,"VREF reservoir; confirm polarity and land pattern"
9,"C6 C7",2,100nF 50V X7R,0805 metric 2012,Murata,GRM21BR71H104KA01L,VERIFY,"Local high-frequency decoupling"
10,"R1 R2",2,47k 1%,0805 metric 2012,Yageo,RC0805FR-0747KL,VERIFY,"VREF divider"
11,"R3 R4 R7 R8",4,100k 1%,0805 metric 2012,Yageo,RC0805FR-07100KL,VERIFY,"Input bias and output discharge"
12,"R5 R6",2,47R 1%,0805 metric 2012,Yageo,RC0805FR-0747RL,VERIFY,"Output isolation"
13,"TP1 TP2 TP3",3,Plated test point,2.0mm plated hole,Unspecified,TBD,DNI,"VCC VREF and GND access; choose hardware after mechanical review"
14,"H1 H2",2,M2.5 mounting hole,2.7mm NPTH,Unspecified,TBD,MECHANICAL,"Fasteners and keepout stack require enclosure review"
